"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000234619.1",10.9531293745929,0.497467979956511,0.515993841479186,0.964096739082065,0.33499742743874,0.583426384503616
"ENSG00000224315.2",9.80172616563731,0.637014581936115,0.562597587285219,1.13227393137249,0.25751928630675,0.50468377613613
"ENSG00000222511.2",2.66425594389343,0.877145159949037,1.09017239042652,0.804593078720201,0.421054537454771,NA
"ENSG00000226545.1",5.55000305312419,0.903499480510466,0.775751093260303,1.16467703153761,0.244149749616665,NA
"ENSG00000228423.2",9.7764360982729,0.814020675959775,0.548457275296102,1.48420070737561,0.137755682202562,0.351530809718553
"ENSG00000074800.16",16566.3800649054,-0.606266884061354,0.110053708132371,-5.50882741117767,3.61231855088049e-08,1.56080007965025e-06
"ENSG00000274258.1",3.05037308380661,-0.914030345469823,0.972505148977593,-0.939871985696688,0.347283228616166,NA
"ENSG00000230679.1",4.05127899271888,-0.777488041964639,0.828392067542336,-0.938550805141437,0.347961420723568,NA
"ENSG00000238249.2",16.4103587664905,-0.653141226828154,0.471504166949296,-1.38522896001975,0.165982468082561,0.392531305963552
"ENSG00000265141.2",5.86863229207483,-1.80088938842036,0.778537460760579,-2.31316985911123,0.0207133020291,NA
"ENSG00000180758.12",160.713150050967,-0.216050943797449,0.16394500061182,-1.31782575248514,0.187561985011996,0.420747719129746
"ENSG00000228526.7",211.769589595631,0.861518878513183,0.17662562116448,4.87765519426487,1.07354375391947e-06,3.29209207698893e-05
"ENSG00000234546.4",25.3723824960283,0.764767060301332,0.388327951946927,1.96938452786385,0.0489089511068495,0.187870705393872
"ENSG00000049239.13",1887.67554484135,0.17993307180571,0.149686877060847,1.20206310224889,0.229339080657397,0.472440615448011
"ENSG00000171621.14",50.6508918315432,-0.367263054849657,0.269454788537574,-1.36298581607298,0.172886980856954,0.401763618534104
"ENSG00000284652.1",3.48007797058074,-0.445061256567103,0.934122422439773,-0.476448531665343,0.633754866441382,NA
"ENSG00000284693.1",24.023549168489,0.0993441400351011,0.374355917150743,0.265373500147182,0.790721748360626,0.900155211000774
"ENSG00000171612.7",291.787740767452,-0.308343445181449,0.159965903812553,-1.92755729710228,0.0539102147479568,0.19872128483454
"ENSG00000231181.1",12.3095638033921,0.931806293780714,0.512360606089043,1.81865327409417,0.0689643446134843,0.232975480597838
"ENSG00000188807.13",360.892379829853,-0.171927887976147,0.418559269585817,-0.41076115252752,0.681247681134068,0.83808167966853
"ENSG00000171608.16",100.123643408608,-0.0464924991602724,0.236989587697982,-0.196179501436671,0.844469671788911,0.930165895374019
"ENSG00000231789.2",54.7168332969068,-0.153522593940923,0.279969195973809,-0.548355305328964,0.583447959301878,0.779243640640276
"ENSG00000171603.18",3116.96063552435,-0.162807766604826,0.119311832654441,-1.36455675001122,0.172392406124899,0.401076210168132
"ENSG00000271264.1",2.48692578782804,0.752083765095712,1.06223164875982,0.708022365906523,0.47893136835005,NA
"ENSG00000280113.2",1.59630905327147,0.428442957289004,1.43245583933166,0.299096799723265,0.764866188035278,NA
"ENSG00000178585.15",425.727870229472,-0.340469346872982,0.19752045252602,-1.72371692408983,0.084758958252564,0.263442122553949
"ENSG00000285701.1",12.1038105509246,0.955966791897511,0.526549253775673,1.81553156716614,0.0694422593652315,0.233969496458386
"ENSG00000162441.12",1294.61568657761,-0.393966381696046,0.137772958428158,-2.85953343958626,0.00424264685681308,0.0342022086603173
"ENSG00000228150.1",11.6581587176283,0.147546555878542,0.525136546279262,0.280967982373252,0.778734957378978,0.893512678835041
"ENSG00000173614.14",157.111564942203,0.0116891756688489,0.183041097424938,0.0638609352396523,0.949080957918347,0.977767567082426
"ENSG00000202415.1",7.54950282754565,0.748348663761756,0.630328798039096,1.18723540172972,0.235134780471002,0.478639199193723
"ENSG00000283611.2",12.177998569487,0.0523731884238922,0.511921563378466,0.102307056726135,0.918512954243377,0.965308761734547
"ENSG00000162444.12",3.36747308089398,-0.738313427802819,0.953496014446738,-0.774322510651733,0.438740094980688,NA
"ENSG00000130939.20",2290.46700279546,-0.0296412928187574,0.0875720649388589,-0.33847886126075,0.735002354291191,0.868650120025882
"ENSG00000224340.1",2.56413900965556,0.853049954454428,1.0199579321111,0.836357978695059,0.40295354504614,NA
"ENSG00000233623.2",4.02167275607027,2.25818522979551,1.06534407472041,2.11967690380983,0.0340333020456983,NA
"ENSG00000201746.1",2.56790684774913,0.980901034502574,1.09859214380996,0.892870971296749,0.371926274180414,NA
"ENSG00000054523.19",5256.09580170317,-0.309439476471958,0.0940401594304097,-3.29050352898375,0.00100008247369532,0.0114202966351013
"ENSG00000199562.1",4.12117557098043,-0.034039283033757,0.79154503205369,-0.0430035963278563,0.965698667052358,NA
"ENSG00000284735.1",31.0293214099533,-0.0798795555165364,0.342694186552908,-0.233092823429626,0.8156893275125,0.91317017590697
"ENSG00000284642.1",22.3013084975908,-0.100634709780995,0.387006122352973,-0.26003389602506,0.794837627445402,0.9020366009844
"ENSG00000142657.21",3167.94104927774,-0.2909116114645,0.0946490029328004,-3.07358347632086,0.00211504506029638,0.0202884749422713
"ENSG00000271989.1",2.07864228814067,-0.545158405155808,1.12989573010292,-0.482485587502972,0.629461034347186,NA
"ENSG00000251503.8",2.04482658528882,1.98240479814376,1.21344432509766,1.63370066276771,0.10232171914436,NA
"ENSG00000175279.22",30.9318238085041,-0.470193548434628,0.327628600662147,-1.43514194879309,0.151246651883837,0.371362246496965
"ENSG00000241563.4",4.11796499541076,-0.143266325029135,0.788722131611036,-0.181643597012424,0.855862432484326,NA
"ENSG00000160049.12",1627.78338243038,-0.116801756613281,0.101585725473819,-1.14978513042547,0.250232381085437,0.496039786378028
"ENSG00000142655.13",229.171520568488,-0.315056459827568,0.268232924282253,-1.17456296862366,0.240169605915115,0.485481023388476
"ENSG00000287727.1",16.4520926428931,1.32789531523023,0.444988595740733,2.98411089169555,0.00284403677947555,0.0253812357966642
"ENSG00000243267.3",2.33843358832375,1.12040981036149,1.11578454451515,1.00414530374083,0.315308581466351,NA
"ENSG00000130940.15",151.392823818239,-0.0565176103811319,0.225004041412195,-0.251184867731308,0.801671183398414,0.905044882172017
"ENSG00000272078.1",8.73664331507634,0.703418105122678,0.571444443745097,1.23094749248529,0.218342503270332,0.45921565884811
"ENSG00000120948.19",4252.92496752466,-0.292044363328431,0.108228566597796,-2.69840368868358,0.00696728950513407,0.0493025810127831
"ENSG00000009724.17",83.7678982606057,0.270268198213287,0.215185266141186,1.25597910609716,0.209123545523119,0.449669107157448
"ENSG00000116649.10",694.704802329379,-0.369945156918517,0.218552713034345,-1.692704482055,0.0905117317121775,0.273897078957456
"ENSG00000171824.14",1795.7804352092,-0.262458527289494,0.107575968217713,-2.43975054687242,0.0146974069415791,0.0829782532924406
"ENSG00000226849.1",10.7611867516542,-0.449191376182264,0.518709893933229,-0.865978037889684,0.386502205695123,0.628577414949379
"ENSG00000230337.1",2.16320354595627,0.642633377580438,1.25946640344524,0.510242572427917,0.609881530005279,NA
"ENSG00000198793.13",3136.47768973924,-0.066527977916777,0.088296217435131,-0.753463510094908,0.451171430810687,0.681264471368558
"ENSG00000225602.5",7.77563353911386,0.62942755606605,0.596664679863412,1.05491003122581,0.291466474018598,0.540751242437226
"ENSG00000253086.1",2.35343637335811,0.988527130072866,1.15526232409866,0.855673304194457,0.392178510481584,NA
"ENSG00000171819.5",26.9313531050152,0.91006643946299,0.425338722733136,2.13962752700976,0.032384880188513,0.143271675607063
"ENSG00000207451.1",1.55461320839783,1.10889395906976,1.45161668282331,0.763902738368248,0.444925205454351,NA
"ENSG00000238173.1",2.93443443979951,-0.582443506090338,1.10572234680875,-0.526753852602637,0.59836453307637,NA
"ENSG00000120942.14",414.805625840802,-0.156856764062703,0.131552003131499,-1.19235557292054,0.233121852579282,0.47651770225678
"ENSG00000238199.1",6.84850337524295,0.642615597893465,0.632980024223221,1.01522255569134,0.309999751001639,NA
"ENSG00000204624.8",89.0359597317442,-0.864529573307071,0.269835541410235,-3.20391290483381,0.00135573482403371,0.0143979038312381
"ENSG00000284708.1",1.508410546063,-0.346562795600772,1.34659671805532,-0.257361978500332,0.796899351282784,NA
"ENSG00000116661.11",32.9979055802521,-0.933259139644211,0.348994681017589,-2.67413571153302,0.00749221254950592,0.0518264877696025
