"","SRR14862052ReadsPerGene.out.tab","SRR14862053ReadsPerGene.out.tab","SRR14862054ReadsPerGene.out.tab","SRR14862055ReadsPerGene.out.tab","SRR14862056ReadsPerGene.out.tab","SRR14862057ReadsPerGene.out.tab","SRR14862058ReadsPerGene.out.tab","SRR14862059ReadsPerGene.out.tab","SRR14862060ReadsPerGene.out.tab"
"ENSG00000271264.1",1,0,3,3,3,4,2,3,4
"ENSG00000280113.2",0,1,4,4,2,1,0,2,1
"ENSG00000178585.15",376,438,486,457,361,278,566,472,449
"ENSG00000223989.1",0,0,0,0,0,0,0,0,0
"ENSG00000285701.1",7,12,13,13,6,19,8,6,27
"ENSG00000162441.12",1283,1231,1202,1342,1536,1325,1650,1151,1062
"ENSG00000228150.1",12,10,19,11,9,15,9,16,6
"ENSG00000173614.14",124,152,156,133,191,155,183,166,175
"ENSG00000202415.1",5,7,16,9,7,8,3,7,8
"ENSG00000283611.2",10,11,9,16,12,21,9,13,10
"ENSG00000265521.1",1,1,2,1,1,3,0,1,0
"ENSG00000241326.1",0,0,0,0,0,0,0,0,0
"ENSG00000162444.12",3,5,5,2,4,2,7,2,1
"ENSG00000130939.20",1991,2174,2632,2284,2410,2436,2482,2284,2244
"ENSG00000224340.1",1,3,6,3,1,3,2,2,3
"ENSG00000233623.2",0,5,12,2,4,1,2,4,8
"ENSG00000201746.1",1,2,6,3,5,2,1,1,3
"ENSG00000054523.19",4989,5428,5087,5712,5768,5283,5800,5413,4359
"ENSG00000264881.1",2,0,0,0,1,1,1,2,0
"ENSG00000199562.1",3,3,6,5,5,4,6,1,5
"ENSG00000264501.2",0,0,0,0,0,0,0,0,0
"ENSG00000284735.1",29,30,39,47,31,31,21,23,32
"ENSG00000284642.1",16,20,34,34,13,17,25,20,26
"ENSG00000142657.21",2906,3300,3248,3141,3528,2839,3783,3340,2783
"ENSG00000271989.1",2,2,2,2,3,2,4,0,2
"ENSG00000251503.8",1,1,4,1,1,3,1,1,6
"ENSG00000175279.22",30,22,26,32,33,35,52,23,29
"ENSG00000241563.4",3,3,7,7,1,4,5,4,4
"ENSG00000160049.12",1455,1565,1847,1628,1817,1613,1835,1556,1552
"ENSG00000203469.2",0,0,0,0,0,0,0,0,0
"ENSG00000142655.13",226,229,308,246,149,126,290,271,245
"ENSG00000287727.1",10,19,29,11,13,21,7,14,28
"ENSG00000243267.3",1,3,6,1,0,3,3,2,3
"ENSG00000130940.15",123,196,168,128,130,114,145,236,140
"ENSG00000272078.1",7,9,12,7,5,10,6,10,14
"ENSG00000225158.2",0,0,0,0,0,0,0,0,0
"ENSG00000175262.14",4,0,1,4,0,0,0,0,1
"ENSG00000215785.2",0,0,1,1,0,0,1,0,0
"ENSG00000120948.19",4020,3983,4371,4429,4608,4411,5334,3991,3639
"ENSG00000009724.17",71,73,92,76,97,112,71,87,87
"ENSG00000116649.10",699,705,866,768,543,407,834,800,703
"ENSG00000171824.14",1776,1619,1965,1863,1841,1882,2240,1618,1576
"ENSG00000226849.1",13,8,8,15,9,11,9,13,11
"ENSG00000230337.1",1,4,3,2,1,4,1,4,0
